feature,mean_abs_shap
25(OH)D3,0.4256613749330836
tIgE,0.3739504572604671
Site_4.0,0.36513939971025783
SALT,0.3194893818104456
Age,0.23474989865164728
Mutiple,0.2001716153787168
Short_lanugo,0.17924573364243876
Excl_mark,0.160862909764148
Duration,0.15231459528002292
Black_dot,0.09058161487802556
