feature,mean_abs_shap
25(OH)D3,0.3708180785179138
Site_4.0,0.3573472797870636
tIgE,0.3329283893108368
SALT,0.306922048330307
Age,0.2002330720424652
Mutiple,0.15745402872562408
Duration,0.1409531533718109
Excl_mark,0.12327852100133896
Short_lanugo,0.11499534547328949
Black_dot,0.0457436628639698
