model,AUC_median,AUC_ci_low,AUC_ci_high,F1_median,F1_ci_low,F1_ci_high,ACC_median,ACC_ci_low,ACC_ci_high,PRE_median,PRE_ci_low,PRE_ci_high,SEN_median,SEN_ci_low,SEN_ci_high,SPE_median,SPE_ci_low,SPE_ci_high,n_boot,thr,auc_nan,spe_nan
DT,0.6781282480797142,0.6462941122028975,0.7093355735575164,0.7655473577334042,0.7430712852757,0.7863258267397037,0.6582959641255606,0.6322869955156951,0.6852017937219731,0.6513953570929358,0.6231710652299544,0.6791054385699136,0.9279279279279279,0.9075984424937329,0.9472116406803684,0.2550562819094945,0.21895455503735659,0.29425878847520637,1000,0.5,0,0
RF,0.8913734467214958,0.8716731375917538,0.9102808984952716,0.8484451672193208,0.8303331081028604,0.8673287374459197,0.7946188340807175,0.7713004484304933,0.8179596412556054,0.7621878715814506,0.7350076775678149,0.7895472630321331,0.9564259026468329,0.9393019602915306,0.9717272407662917,0.5518018018018018,0.505666547050686,0.5974993229213685,1000,0.5,0,0
XGB,0.8719386339928882,0.8498328142629736,0.8928622227827804,0.8440492476060192,0.8238557558945908,0.8641638225255973,0.7964125560538117,0.7721973094170403,0.820627802690583,0.7809342145554762,0.7515527885537897,0.8093572443181818,0.9191008082622362,0.898402895490038,0.9393535852053551,0.6112948334232864,0.5650054207887248,0.6564718670076727,1000,0.5,0,0
SVM,0.804572623179143,0.7775463899064546,0.8302451928167709,0.7973808571047467,0.7746388851737157,0.8196582422003584,0.7452914798206278,0.7192600896860987,0.7704035874439462,0.7625846509491279,0.7314430187037843,0.7911714537708846,0.8361801860018759,0.8088180747076279,0.8625223016610147,0.608743430482561,0.5613747635473462,0.6522749219664455,1000,0.5,0,0
GBDT,0.8994944071817739,0.8806461070418771,0.9181454095926318,0.8637316561844863,0.8454338102620144,0.881041960664807,0.8242152466367713,0.8026905829596412,0.8457399103139014,0.8090254128518868,0.7812816747862767,0.8356000498827929,0.9261493012157709,0.9060157839631774,0.9456585303839308,0.6717562154499006,0.6269241890075329,0.7139486357583078,1000,0.5,0,0
