feature,mean_abs_shap
Mutiple,0.06656003344767301
SALT,0.05399736144220789
Short_lanugo,0.04323367375457342
Excl_mark,0.02123544583003916
Duration,0.0
Age,0.0
25(OH)D3,0.0
tIgE,0.0
Black_dot,0.0
Site_4.0,0.0
