model,AUC_median,AUC_ci_low,AUC_ci_high,F1_median,F1_ci_low,F1_ci_high,ACC_median,ACC_ci_low,ACC_ci_high,PRE_median,PRE_ci_low,PRE_ci_high,SEN_median,SEN_ci_low,SEN_ci_high,SPE_median,SPE_ci_low,SPE_ci_high,n_boot,thr,auc_nan,spe_nan
DT,0.6283157048878133,0.5806588765293308,0.6740885064624351,0.7349726775956283,0.6990014265335236,0.7709039085338281,0.6409774436090225,0.6015037593984962,0.6804981203007519,0.6658163265306123,0.6197907021604938,0.7131969384751251,0.8201556128337308,0.7790987784675321,0.859440754850548,0.36363636363636365,0.29850811027301244,0.4272030525671302,1000,0.5,0,0
RF,0.7459567221632095,0.7051921855967053,0.7831694117289228,0.7576601671309191,0.7251345196085792,0.7917296922008794,0.6766917293233082,0.6372180451127819,0.7143327067669173,0.696236559139785,0.6518490878938641,0.7404698809476723,0.8338608070347632,0.7927540204678363,0.8745877240457165,0.4354066985645933,0.37155963302752293,0.4956992932105376,1000,0.5,0,0
XGB,0.7438282962211917,0.7005862332188976,0.7812941549978689,0.759327311430052,0.7242829583169521,0.7921923650239132,0.6917293233082706,0.6522086466165413,0.7274436090225563,0.71900826446281,0.6730245231607629,0.7632438244207046,0.8063492063492064,0.7623456790123457,0.8461890243902439,0.5117927152170527,0.4454431818181818,0.5784313725490197,1000,0.5,0,0
SVM,0.7465784240828972,0.7030993065494268,0.7842022336294365,0.7519747235387044,0.7147333019212646,0.7867979681809468,0.6954887218045113,0.6578947368421053,0.7330827067669173,0.7435111718252929,0.6946107784431138,0.7897935657551042,0.7624816715542522,0.714687114038699,0.8060752540510848,0.592964824120603,0.5219134938409854,0.6602957414102925,1000,0.5,0,0
GBDT,0.7477057007319985,0.705650660197292,0.7849387425084898,0.7617645721806481,0.7267283024967113,0.7966107637815865,0.6973684210526315,0.6578947368421053,0.7330827067669173,0.7273965816200149,0.6800964821637163,0.7729763797410856,0.803076923076923,0.7607266671506879,0.8439490445859873,0.5323383084577115,0.4602376608697376,0.5959644522144522,1000,0.5,0,0
STACK,0.7462533941141994,0.7035377209595959,0.783293942340165,0.7641791044776121,0.7299643114925014,0.7982456140350876,0.7030075187969925,0.6654135338345865,0.7387218045112782,0.7357152793120095,0.689843028077242,0.7802213279678069,0.7965351732413379,0.7531230945121952,0.8388214221341024,0.5550348975023045,0.4845231370333757,0.6225650042625746,1000,0.5,0,0
