model,AUC_median,AUC_ci_low,AUC_ci_high,F1_median,F1_ci_low,F1_ci_high,ACC_median,ACC_ci_low,ACC_ci_high,PRE_median,PRE_ci_low,PRE_ci_high,SEN_median,SEN_ci_low,SEN_ci_high,SPE_median,SPE_ci_low,SPE_ci_high,n_boot,thr,auc_nan,spe_nan
DT,0.6581323352954908,0.6113185938892958,0.704560716584424,0.741514360313316,0.7063706415160709,0.7737811809691129,0.6278195488721805,0.5882988721804512,0.6672932330827067,0.6416581381815263,0.5964892612697663,0.6847023990282417,0.88,0.8444294294294294,0.9153107226369048,0.23880597014925373,0.18262764632627645,0.2957876890975482,1000,0.5,0,0
RF,0.7685090564943253,0.7282490357931226,0.8051453204095721,0.789545585274662,0.7549295774647887,0.8207846393176138,0.7142857142857143,0.6729323308270677,0.75,0.7125307125307125,0.6666666666666666,0.7570541481146622,0.8859253990832938,0.849842541656701,0.9187723214285713,0.4444444444444444,0.37673034330011074,0.5128605769230768,1000,0.5,0,0
XGB,0.7582075199757075,0.715651451087907,0.7943682134256757,0.7676767676767676,0.7319668420001332,0.8,0.6954887218045113,0.6560150375939849,0.7330827067669173,0.7167148362235067,0.6701083942099567,0.7596685082872928,0.8272576260948354,0.785068973315242,0.867120635409562,0.49336166213014276,0.42362236901030004,0.5577284946236559,1000,0.5,0,0
SVM,0.7746939284468463,0.7327368726967554,0.8156272422295722,0.786144578313253,0.7511581597514149,0.816906601853006,0.7274436090225563,0.6898026315789474,0.7613251879699248,0.7520893958794087,0.7058823529411765,0.7945223991114402,0.8240891543008807,0.7825928968655208,0.8643745735391553,0.5792079207920792,0.5115965454019107,0.6450040322580646,1000,0.5,0,0
GBDT,0.7734231493447401,0.732223129211063,0.8104880242768577,0.776034236804565,0.7404227845782838,0.8085257925683457,0.7030075187969925,0.6616541353383458,0.7406015037593985,0.7164948453608248,0.6725273535894206,0.7599075142919964,0.8489679433889576,0.8050294993866465,0.8857164902998236,0.4788353863381859,0.4084384415948427,0.5426073030108904,1000,0.5,0,0
