model,AUC_median,AUC_ci_low,AUC_ci_high,F1_median,F1_ci_low,F1_ci_high,ACC_median,ACC_ci_low,ACC_ci_high,PRE_median,PRE_ci_low,PRE_ci_high,SEN_median,SEN_ci_low,SEN_ci_high,SPE_median,SPE_ci_low,SPE_ci_high,n_boot,thr,auc_nan,spe_nan
DT,0.6338902905903194,0.5830406392992339,0.6792749672517954,0.7201145678283369,0.6809883894757823,0.7531541901434795,0.6259398496240601,0.5827067669172933,0.6654605263157894,0.6611106714675741,0.6133936434751075,0.7070768662232076,0.7884057971014493,0.7431960242070671,0.8333333333333334,0.3719806763285024,0.3094088870770485,0.43981944444444443,1000,0.5,0,0
RF,0.7632288606344054,0.7218426792924093,0.7998593491424449,0.7827338129496403,0.7481920550516109,0.8152375790213974,0.7142857142857143,0.674812030075188,0.750046992481203,0.7265520274798928,0.6824085942745529,0.7715148241636005,0.8485804416403786,0.8093569719994372,0.8882343068143672,0.5066687743286766,0.4375,0.5728905396547957,1000,0.5,0,0
XGB,0.7625941622873538,0.7191656633198712,0.7994384116230425,0.7736679105702624,0.7380916523235801,0.8051675421840178,0.7048872180451128,0.6635338345864662,0.7424812030075187,0.7259351407000687,0.6810697608603368,0.7704496301743154,0.8270440251572327,0.7843374904434252,0.8654434250764526,0.5164319248826291,0.4453686974789916,0.583375,1000,0.5,0,0
SVM,0.7864080233093622,0.7433005202628697,0.8228196557212782,0.7918187367405567,0.7558092798923204,0.8221668788239642,0.7349624060150376,0.693609022556391,0.7706766917293233,0.7568683392204811,0.7093809523809524,0.8017254131809834,0.8302749719416387,0.788577331463488,0.8691690369768387,0.5852031473245729,0.5183169425970473,0.6490384615384616,1000,0.5,0,0
GBDT,0.7759685679322321,0.7346858777703406,0.8114521232212466,0.7635534614747383,0.7275494672754946,0.7965140914465905,0.6992481203007519,0.6616541353383458,0.7368421052631579,0.7309282239192019,0.688198357191994,0.7781053669362242,0.7981927710843374,0.7531230945121952,0.8401399561683358,0.544401121528082,0.4726229259792409,0.6116504854368932,1000,0.5,0,0
STACK,0.7843588690975837,0.743067526974304,0.8195972290600578,0.7873303167420814,0.7531913884673748,0.8211196514743043,0.7349624060150376,0.6973684210526315,0.7725563909774437,0.7656255044390637,0.7203556231003039,0.8095443349753695,0.8105590062111802,0.7672825366206523,0.8532986574621457,0.6146565227120161,0.5485320201643017,0.680415950744559,1000,0.5,0,0
