feature,mean_abs_shap
Site_4.0,0.09668684475765378
25(OH)D3,0.08634027886707281
SALT,0.07507651283309213
tIgE,0.06698399746207581
Mutiple,0.0583742750624829
Age,0.057063811172931266
Short_lanugo,0.04920300751119642
Duration,0.03892218359983899
Excl_mark,0.03605301447250889
Black_dot,0.021772424489292334
