model,AUC_median,AUC_ci_low,AUC_ci_high,F1_median,F1_ci_low,F1_ci_high,ACC_median,ACC_ci_low,ACC_ci_high,PRE_median,PRE_ci_low,PRE_ci_high,SEN_median,SEN_ci_low,SEN_ci_high,SPE_median,SPE_ci_low,SPE_ci_high,n_boot,thr,auc_nan,spe_nan
DT,0.6506460850768412,0.6177025365991125,0.6836588982737528,0.7296551724137931,0.703595826095122,0.7550245246579881,0.6403587443946188,0.6116367713004484,0.6690582959641256,0.6650455873136005,0.6332007482665317,0.6965704340704341,0.8074915824915825,0.7766415697260859,0.8357585751396056,0.38958063986537794,0.34443242217160214,0.43690082547722897,1000,0.5,0,0
RF,0.8564038904953357,0.8335694762930453,0.8790335794924863,0.827093507466284,0.8057639964702422,0.8469845522632217,0.7730941704035874,0.747085201793722,0.7964349775784754,0.7602740363365669,0.7298986023674756,0.7890060289596734,0.9069423929098966,0.8841642228739003,0.9286892845146121,0.5695364238410596,0.5249780701754386,0.6144878574716325,1000,0.5,0,0
XGB,0.8452686001527295,0.8193743074851891,0.8687413234535101,0.825136612021858,0.8052837542009387,0.8458953148458704,0.7721973094170403,0.747085201793722,0.7955156950672646,0.7658061292471685,0.7367741935483871,0.7954293483296273,0.8955437405248436,0.8709075550047044,0.9185867895545314,0.5875703761226971,0.5431121941515815,0.6343157935704834,1000,0.5,0,0
SVM,0.7969258792459056,0.7695655094039195,0.8222291453610832,0.797979797979798,0.7741323007797526,0.8206662628679376,0.747982062780269,0.7210762331838565,0.7739910313901345,0.7678571428571429,0.7374207082285383,0.7962225326587631,0.8313521151638259,0.8031538389977673,0.8593365740106805,0.6218804821458888,0.57691647597254,0.6673961817638497,1000,0.5,0,0
GBDT,0.8661495483758963,0.8434296019147671,0.8882309857171931,0.8419580419580419,0.8220946915351507,0.8619987846636978,0.7991031390134529,0.7748878923766817,0.8224215246636771,0.795986577181208,0.7674942451735505,0.8240183030235312,0.8948595012847607,0.8710051188068756,0.917910447761194,0.6550925925925926,0.6114561217268223,0.6975234512164534,1000,0.5,0,0
