feature,mean_abs_shap
25(OH)D3,0.07864128748350462
Site_4.0,0.06674328208557687
tIgE,0.06460838161942671
SALT,0.05006378507625794
Age,0.03841793057348527
Mutiple,0.02386573950825601
Duration,0.021156409659762454
Short_lanugo,0.020098520990983786
Excl_mark,0.012155854833879806
Black_dot,0.0065667323589375095
