model,AUC_train,AUC_test,AUC_ext
DT,0.7068125909093956,0.6926992437463642,0.6521916245722665
RF,0.8019984985286923,0.7773960151250727,0.7501666493845083
XGB,0.7966126405115728,0.7784140488656196,0.748492748900114
SVM,0.7818392353221125,0.793520942408377,0.7530107988801161
GBDT,0.8006411416544337,0.7906486329261198,0.7517368569185419
