cluster,n,AUC,F1,ACC,PRE,SEN,SPE
0,60,0.7559912854030502,0.9357798165137615,0.8833333333333333,0.8793103448275862,1.0,0.2222222222222222
1,89,0.74125,0.8633093525179856,0.7865168539325843,0.8,0.9375,0.4
2,383,0.7603021978021978,0.722488038277512,0.6971279373368147,0.719047619047619,0.7259615384615384,0.6628571428571428
