cluster,n,AUC,F1,ACC,PRE,SEN,SPE
0,171,0.7246543778801843,0.9055374592833876,0.8304093567251462,0.8323353293413174,0.9928571428571429,0.0967741935483871
1,295,0.7723843058350102,0.8865979381443299,0.8135593220338984,0.8237547892720306,0.9598214285714286,0.352112676056338
2,1128,0.830748136357189,0.7733990147783252,0.7553191489361702,0.7536,0.7942664418212478,0.7121495327102804
